,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
314,"9118 W Van Buren St, Tolleson 85353",25,Maricopa County,Mexican,33.4506450000,Tolleson,-112.2560170000,2,0,CBCBCB,Not rated,17780029,Fuego Bar & Grill,"11 AM to 10 PM (Mon),11 AM to 12 Midnight (Tue, Thu), 11 AM to 10 PM, 12 Midnight to 2 AM (Wed),11 AM to 2 AM (Fri),10 AM to 2 AM (Sat),10 AM to 9 PM, 12 Midnight to 2 AM (Sun)",https://www.zomato.com/maricopa-county-az/fuego-bar-grill-1-tolleson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85353,11194
315,"9550 W Van Buren St, Tolleson 85353",10,Maricopa County,"Latin American, Mexican",33.4507454000,Tolleson,-112.2647341000,1,0,CBCBCB,Not rated,17034172,La Flor De Michoacan,"Breakfast, Lunch, Dinner, Late (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/maricopa-county-az/la-flor-de-michoacan-1-tolleson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85353,11194
316,"110 E Pennington St, Tucson 85701",40,Tucson,"Mexican, California",32.2230930000,Congress Street,-110.9694820000,3,4.5,3F7E00,Excellent,17250352,Café Poca Cosa,"(Sun, Mon), Lunch, Dinner (Tue-Sat)",https://www.zomato.com/tucson-az/café-poca-cosa-tucson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85701,466
317,"266 East Congress Street, Tucson 85701",25,Tucson,"American, Desserts",32.2219510000,Congress Street,-110.9675300000,2,4.6,3F7E00,Excellent,17251918,HUB Restaurant & Creamery,11 AM to 12 Midnight (Mon-Sun),https://www.zomato.com/tucson-az/hub-restaurant-creamery-tucson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85701,466
318,"311 N Court Ave, Tucson 85701",25,Tucson,Mexican,32.2257050000,El Presidio,-110.9745990000,2,4.1,5BA829,Very Good,17250611,El Charro Cafe,"10 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 10 AM to 10 PM (Fri-Sat)",https://www.zomato.com/tucson-az/el-charro-cafe-tucson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85701,466
319,"326 N 4th Ave, Tucson 85705",25,Tucson,"Bar Food, Sandwich, California",32.2258320000,Fourth Avenue,-110.9651360000,2,4.7,3F7E00,Excellent,17250263,Bison Witches Bar and Deli,"Lunch, Dinner, Late (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/tucson-az/bison-witches-bar-and-deli-tucson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85705,466
320,"Hotel Congress, 311 East Congress Street 85701",40,Tucson,American,32.2221500000,Congress Street,-110.9669200000,3,4.5,3F7E00,Excellent,17250516,Cup Cafe,"7 AM to 10 PM (Mon-Fri), 7 AM to 3:30 PM, 4:30 PM to 11 PM (Sat-Sun)",https://www.zomato.com/tucson-az/cup-cafe-congress-street?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85701,466
321,"431 N 4th Ave, Tucson 85705",25,Tucson,"Burger, Diner",32.2268710000,Fourth Avenue,-110.9657410000,2,4.5,3F7E00,Excellent,17250971,Lindy's on Fourth,"11 AM to 10 PM (Mon-Wed),11 AM to 12 Midnight (Thu),11 AM to 2 AM (Fri-Sat),11 AM to 10 PM, 12 Midnight to 2 AM (Sun)",https://www.zomato.com/tucson-az/lindys-on-fourth-tucson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85705,466
322,534 North 4th Avenue 85705,10,Tucson,"Desserts, Pizza, Sandwich",32.2281800000,Fourth Avenue,-110.9655000000,1,4.2,5BA829,Very Good,17250306,Brooklyn Pizza Company,"Lunch, Dinner (Sun, Mon, Tue, Wed), Lunch, Dinner, Late (Thu-Sat)",https://www.zomato.com/tucson-az/brooklyn-pizza-company-tucson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85705,466
323,"621 N 4th Ave, Tucson 85705",10,Tucson,"American, Desserts",32.2293740000,Fourth Avenue,-110.9657440000,1,4.3,5BA829,Very Good,17250214,The B Line,"7 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 7 AM to 10 PM (Fri-Sat)",https://www.zomato.com/tucson-az/the-b-line-tucson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85705,466
